DENOMINACION,TIPOVIA,PARTICULA,NOMBREVIA,DISTRITO,X,Y,GRADOACCESIBILIDAD,LINEAS
AV.PABLO NERUDA-MALGRAT MAR,Avda,de,Pablo Neruda,13.0,445669.0,4471747.0,T,"54, 142, 144"
CERRO DEL CASTAÑAR-MORALZARZAL,Calle,del,Cerro del Castañar,8.0,439614.0,4483041.0,T,134
ANDALUCES-SAN CLAUDIO,Calle,de los,Andaluces,13.0,446036.0,4471456.0,T,54
CTRA.VILLAVERDE A VALLECAS-AV.ROSALES,Ctra,de,Villaverde a Vallecas,17.0,442127.0,4468163.0,T,"23, 130"
CTRA.CCHEL A VILLAVERDE-CENTRO ESCOLAR,Ctra,de,Carabanchel a Villaverde,17.0,439692.0,4467487.0,T,131
RAFAELA YBARRA-UNIDAD,Avda,de,Rafaela Ybarra,12.0,439640.0,4469245.0,T,131
AV.MORERAS-COLEGIO MAYOR ALFONSO X EL SABIO,Avda,de las,Moreras,9.0,439130.0,4478314.0,T,132
ARQ.SANCHEZ ARCAS-MORERAS,Calle,del,Almirante Francisco Moreno,9.0,439361.0,4478496.0,T,132
CESAR MANRIQUE-JUAN SANCHEZ,Calle,de,César Manrique,8.0,439023.0,4480815.0,T,"127, 132, N21"
ARQ.SANCHEZ ARCAS-MORERAS,Calle,del,Almirante Francisco Moreno,9.0,439333.0,4478492.0,T,132
AV.MORERAS-COLEGIO MAYOR ALFONSO X EL SABIO,Avda,de las,Moreras,9.0,439107.0,4478301.0,T,132
AV.MORERAS-RAMIRO DE MAEZTU,Avda,de las,Moreras,9.0,438953.0,4478072.0,T,132
J.JOSE MTNEZ.SECO-DIAMANTE,Calle,de,Juan José Martínez Seco,17.0,441767.0,4467234.0,T,"85, 123"
J.JOSE MTNEZ.SECO-BENITA LOPEZ,Calle,de,Juan José Martínez Seco,17.0,441565.0,4467231.0,T,"85, 123"
VIRGEN DE LOS DESAMPARADOS-TOTANES,Calle,de la,Virgen de los Desamparados,17.0,440759.0,4467209.0,T,"18, 86, 116, N14"
VIRGEN DE LOS DESAMPARADOS,Calle,de la,Virgen de los Desamparados,17.0,440777.0,4467203.0,T,"18, 86, 116, N14"
ARROYO POZUELO-HINOJO,Calle,de la,Pasionaria,9.0,434394.0,4478425.0,T,160
EMILIO RUBIN-ARTURO SORIA,Calle,de,Emilio Rubín,15.0,444011.0,4479338.0,T,87
MONTEARAGON Nº 8,Calle,de,Montearagón,16.0,444216.0,4479566.0,T,87
Cº DE MONTORO-Cº VIEJO DE BURGOS,Cmno,de,Montoro,16.0,446447.0,4481437.0,T,"87, N2"
Cº DEL OLIVAR-GRAMA,Cmno,del,Olivar,16.0,446782.0,4481118.0,T,87
GREGORIO SANCHEZ HERRAEZ,Calle,de,Gregorio Sánchez Herráez,16.0,446137.0,4481189.0,T,"87, N2"
AV.BUCARAMANGA-GTA.CHARALA,Gta,de,Charala,16.0,445889.0,4480621.0,T,87
GRAN VIA HORTALEZA-HARO,G.v.,de,Hortaleza,16.0,444870.0,4480015.0,T,87
ARROYOFRESNO-AV.C.HERRERA ORIA,Calle,de,Arroyofresno,8.0,437273.0,4481198.0,T,82
CANTALEJO-ARROYOFRESNO,Calle,de,Cantalejo,8.0,437247.0,4480982.0,T,82
