centro_codigo;centro_nombre;centro_tipo_codigo;centro_tipo_desc_abreviada;centro_tipo_descripcion;centro_titularidad;centro_titular;dat_codigo;dat_nombre;direccion_codigo_postal;municipio_codigo;municipio_nombre;distrito_codigo;distrito_nombre;direccion_coor_x;direccion_coor_y;fecha_constitución
28000017;E.M.;10;CP EGB;CENTRO PUBLICO DE EDUCACION GENERAL BASICA;PÚBLICO;COMUNIDAD DE MADRID;1;Madrid-Norte;0.0;1;Acebeda, La;0.0;Sin distrito;0.0;0.0; 
28000029;SAN BLAS;70;CP INF-PRI-SEC;COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;28864.0;2;Ajalvir;0.0;Sin distrito;458832.0;4487797.0;1980-09-04
28000030;JOAQUIN CABALLERO;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;1;Madrid-Norte;28749.0;3;Alameda del Valle;0.0;Sin distrito;0.0;0.0;1968-02-05
28000042;EL ALAMO;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;2;Madrid-Sur;28607.0;4;Álamo, El;0.0;Sin distrito;415961.0;4453703.0;1900-01-01
28000054;ANTONIO DE NEBRIJA;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;28806.0;5;Alcalá de Henares;0.0;Sin distrito;468386.0;4482313.0;1975-09-03
28000066;CARDENAL CISNEROS;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;28801.0;5;Alcalá de Henares;0.0;Sin distrito;468658.0;4481259.0;1975-09-03
28000078;CERVANTES;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;28800.0;5;Alcalá de Henares;0.0;Sin distrito;469547.0;4481511.0;1975-09-03
28000081;DAOIZ Y VELARDE;14;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;28807.0;5;Alcalá de Henares;0.0;Sin distrito;468826.0;4481956.0;1900-01-01
28000091;C.P.EL ENCINAR;10;CP EGB;CENTRO PUBLICO DE EDUCACION GENERAL BASICA;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;0.0;5;Alcalá de Henares;0.0;Sin distrito;468838.5;4481732.0;1991-04-10
28000108;HISTORIADOR PORTILLA;12;CP PRI;COLEGIO DE EDUCACIÓN PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;3;Madrid-Este;28801.0;5;Alcalá de Henares;0.0;Sin distrito;468838.5;4481732.0;1900-01-01
